feature,mean_shap
social_media_hours,0.14949189088262924
daily_screen_time_hours,0.10748813708844268
addiction_pressure_score,0.10167307956546874
weekend_screen_time,0.045480489454473645
screen_sleep_ratio,0.027173227669221083
nonproductive_hours,0.02705301809322399
social_pct_of_screen,0.025398999372535393
notifications_per_screen_hour,0.01139377449405044
apps_per_screen_hour,0.010205711030137397
productive_ratio,0.00986047642565092
passive_ratio,0.007144767077826269
gaming_pct_of_screen,0.006805576767696131
weekend_weekday_delta,0.006784619850213957
sleep_hours,0.0062775606020265265
work_study_hours,0.004878813113769751
notifications_per_day,0.004126483233104253
gaming_hours,0.0037932145501468895
app_opens_per_day,0.0028275329536586085
age,0.00198014721497079
gender_Male,0.0009051880571450072
stress_level_enc,0.0008728555215518114
academic_impact_enc,0.0005583711627208733
gender_Other,0.00040790787034795066
